descripcion,precio,tipoAplicacion,cantidad,costoUnidad,precioUnidad
D.AMB.AYUDIN DES.BEBE332C DESI,"565,07",Multiuso,100,"5,6507","7,063375"
D.AMB.AYUDIN DES.F.MAT332c DES,"565,07",Multiuso,100,"5,6507","7,063375"
D.AMB.AYUDIN DES.ORIG332C DESI,"565,07",Multiuso,100,"5,6507","7,063375"
D.AMB.GLAD.AC.NAT.REP.TROPICAL,"1659,08",Multiuso,100,"16,5908","20,7385"
D.AMB.GLAD.AC.NAT.VAINIL2U AC.,"2628,46",Multiuso,100,"26,2846","32,85575"
D.AMB.GLAD.TOQUE REP.CAMP TOQ.,"534,37",Multiuso,100,"5,3437","6,679625"
D.AMB.GLAD.TOQUE REP.CHERRY TO,"534,37",Multiuso,100,"5,3437","6,679625"
D.AMB.GLAD.TOQUE REP.HARM TOQU,"534,37",Multiuso,100,"5,3437","6,679625"
D.AMB.GLAD.TOQUE REP.LAV TOQUE,"564,4",Multiuso,100,"5,644","7,055"
D.AMB.GLAD.TOQUE REP.VAINILLA ,"534,37",Multiuso,100,"5,3437","6,679625"
D.AMB.GLADE AUTOM.REP.ALG270c ,"1459,47",Multiuso,100,"14,5947","18,243375"
D.AMB.GLADE AUTOM.REP.HAW270 A,"1459,47",Multiuso,100,"14,5947","18,243375"
D.AMB.GLADE AUTOM.REP.LIM270c ,"1459,47",Multiuso,100,"14,5947","18,243375"
D.AMB.GLADE AUTOM.REP.LYV270c ,"1122,54",Multiuso,100,"11,2254","14,03175"
D.AMB.GLADE AUTOM.REP.PLAYA170,"753,83",Multiuso,100,"7,5383","9,422875"
D.AMB.GLADE AUTOM.REP.SANDIA17,"753,83",Multiuso,100,"7,5383","9,422875"
D.AMB.GLADE AUTOM.REPx2Un AUTO,"1551,67",Multiuso,100,"15,5167","19,395875"
D.AMB.GLADE CAR.ALG.360C CARIC,"408,98",Multiuso,100,"4,0898","5,11225"
D.AMB.GLADE CAR.BEBE 360c CARI,"408,98",Multiuso,100,"4,0898","5,11225"
D.AMB.GLADE HARMONY 360C HARMO,"408,98",Multiuso,100,"4,0898","5,11225"
D.AMB.GLADE I LOVE Y.360C I LO,"408,98",Multiuso,100,"4,0898","5,11225"
DET.ALA ULTRA LIMON 300C ULTRA,"314,33",Cocina,100,"3,1433","3,929125"
DET.ALA ULTRA LIMON 500C ULTRA,"445,43",Cocina,100,"4,4543","5,567875"
DET.ALA ULTRA LIMON 5L ULTRA L,"3464,34",Cocina,100,"34,6434","43,30425"
DET.ALA ULTRA LIMON DP450C ULT,"398,39",Cocina,100,"3,9839","4,979875"
DET.CIF A/GEL NEUTRO 5L ACTIVE,"4284,94",Cocina,100,"42,8494","53,56175"
DET.CIF BIO.LIMA DP450C- BIOAC,"497,99",Cocina,100,"4,9799","6,224875"
DET.CIF BIO.LIMON 300c BIOACTI,"392,93",Cocina,100,"3,9293","4,911625"
DET.CIF BIO.LIMON 500C BIOACTI,"650,91",Cocina,100,"6,50909","8,1363625"
DET.CIF BIO.LIMON DP450C- BIOA,"497,99",Cocina,100,"4,9799","6,224875"
DET.FINISH LAVAVAJILLA 1K LAVA,"2173,1",Cocina,100,"21,73099","27,1637375"
DET.MAGISTR.Esp.Act.Lim215c LI,"373,89",Cocina,100,"3,7389","4,673625"
D.POLVO ALA 400G REGULAR      ,"304,21",Ropa,100,"3,04209","3,8026125"
D.POLVO ALA 800G REGULAR      ,"612,19",Ropa,100,"6,12189","7,6523625"
D.POLVO ALA REG.3K REGULAR    ,"2162,52",Ropa,100,"21,6252","27,0315"
D.POLVO ALAMAT.SOL 3K MATIC SO,"2162,52",Ropa,100,"21,6252","27,0315"
D.POLVO ALAMAT.SOL 400G MATIC ,"313,31",Ropa,100,"3,1331","3,916375"
D.POLVO ALAMATIC 10K MATIC    ,"6025,83",Ropa,100,"60,2583","75,322875"
D.POLVO ALAMATIC 400G MATIC   ,"313,31",Ropa,100,"3,1331","3,916375"
D.POLVO ALAMATIC 800G MATIC   ,"630,56",Ropa,100,"6,3056","7,882"
D.POLVO DR.MAT.COL.RAD.3k MATI,"1842,78",Ropa,100,"18,4278","23,03475"
D.POLVO DRIV.MAT.COL.RAD.400G ,"263,42",Ropa,100,"2,63419","3,2927375"
D.POLVO DRIV.REG.COL.RAD.400G ,"263,42",Ropa,100,"2,63419","3,2927375"
D.POLVO DRIV.REG.COL.RAD.800G ,"511,47",Ropa,100,"5,11469","6,3933625"
D.POLVO DRIVE MATIC 10K MATIC ,"4675,21",Ropa,100,"46,7521","58,440125"
D.POLVO GRANBY PLUS REG.400G R,"225,38",Ropa,100,"2,25379","2,8172375"
D.POLVO GRANBY PLUS REG.800G R,"424,16",Ropa,100,"4,2416","5,302"
D.POLVO SKIP 10 K BAJA ESPUMA ,"8285,5",Ropa,100,"82,855","103,56875"
D.POLVO SKIP 600G BAJA ESPUMA ,"747,9",Ropa,100,"7,47899","9,3487375"
ESCOB.INOD.ASAPRACTIC         ,351,Multiuso,100,"3,51","4,3875"
ESCOB.INOD.L.GAUCH.BOLS GDE CO,"1172,96",Multiuso,100,"11,72959","14,6619875"
ESCOBA GAUCH.VERONNA VERONNA  ,"1016,44",Multiuso,100,"10,16439","12,7054875"
ESCOBA VIRULANA EXTERIOR EXTER,"1181,79",Multiuso,100,"11,81785","14,7723125"
ESCOBA VIRULANA MULTIUSO MULTI,"1138,45",Multiuso,100,"11,38454","14,230675"
